,model,tmscore
0,af3_jian_0,0.766
1,af3_jian_1,0.759
2,af3_jian_2,0.759
3,af3_jian_3,0.741
4,af3_jian_4,0.746
5,af3_jian_5,0.729
6,af3_jian_6,0.746
7,af3_jian_7,0.743
8,af3_jian_8,0.74
9,af3_jian_9,0.726
10,af3_pawan_0,0.729
11,af3_pawan_1,0.733
12,af3_pawan_2,0.743
13,af3_pawan_3,0.729
14,af3_pawan_4,0.731
15,af3_pawan_5,0.746
16,af3_pawan_6,0.763
17,af3_pawan_7,0.746
18,af3_pawan_8,0.749
19,af3_pawan_9,0.76
20,afsample_v1_0,0.946
21,afsample_v1_1,0.941
22,afsample_v1_2,0.946
23,afsample_v1_3,0.84
24,afsample_v1_4,0.881
25,afsample_v1_not_0,0.927
26,afsample_v1_not_1,0.878
27,afsample_v1_not_2,0.933
28,afsample_v1_not_3,0.892
29,afsample_v1_not_4,0.908
30,afsample_v1_r21_not_0,0.944
31,afsample_v1_r21_not_1,0.949
32,afsample_v1_r21_not_2,0.944
33,afsample_v1_r21_not_3,0.949
34,afsample_v1_r21_not_4,0.946
35,afsample_v2_0,0.74
36,afsample_v2_1,0.761
37,afsample_v2_2,0.805
38,afsample_v2_3,0.836
39,afsample_v2_4,0.927
40,afsample_v2_not_0,0.712
41,afsample_v2_not_1,0.932
42,afsample_v2_not_2,0.799
43,afsample_v2_not_3,0.846
44,afsample_v2_not_4,0.728
45,afsample_v2_r21_not_0,0.948
46,afsample_v2_r21_not_1,0.948
47,afsample_v2_r21_not_2,0.948
48,afsample_v2_r21_not_3,0.948
49,afsample_v2_r21_not_4,0.948
50,deepmsa2_0_0,0.526
51,deepmsa2_0_1,0.484
52,deepmsa2_0_2,0.526
53,deepmsa2_0_3,0.438
54,deepmsa2_0_4,0.564
55,deepmsa2_1_0,0.464
56,deepmsa2_1_1,0.483
57,deepmsa2_1_2,0.557
58,deepmsa2_1_3,0.507
59,deepmsa2_1_4,0.517
60,deepmsa2_10_0,0.912
61,deepmsa2_10_1,0.922
62,deepmsa2_10_2,0.901
63,deepmsa2_10_3,0.901
64,deepmsa2_10_4,0.912
65,deepmsa2_11_0,0.925
66,deepmsa2_11_1,0.906
67,deepmsa2_11_2,0.903
68,deepmsa2_11_3,0.915
69,deepmsa2_11_4,0.911
70,deepmsa2_12_0,0.914
71,deepmsa2_12_1,0.928
72,deepmsa2_12_2,0.91
73,deepmsa2_12_3,0.937
74,deepmsa2_12_4,0.931
75,deepmsa2_2_0,0.538
76,deepmsa2_2_1,0.597
77,deepmsa2_2_2,0.53
78,deepmsa2_2_3,0.501
79,deepmsa2_2_4,0.516
80,deepmsa2_7_0,0.918
81,deepmsa2_7_1,0.915
82,deepmsa2_7_2,0.915
83,deepmsa2_7_3,0.915
84,deepmsa2_7_4,0.931
85,deepmsa2_8_0,0.915
86,deepmsa2_8_1,0.915
87,deepmsa2_8_2,0.931
88,deepmsa2_8_3,0.931
89,deepmsa2_8_4,0.915
90,deepmsa2_9_0,0.901
91,deepmsa2_9_1,0.922
92,deepmsa2_9_2,0.94
93,deepmsa2_9_3,0.91
94,deepmsa2_9_4,0.914
95,def_mul_comp_0,0.947
96,def_mul_comp_1,0.92
97,def_mul_comp_2,0.911
98,def_mul_comp_3,0.744
99,def_mul_comp_4,0.931
100,def_mul_drop_nos_0,0.925
101,def_mul_drop_nos_1,0.911
102,def_mul_drop_nos_2,0.919
103,def_mul_drop_nos_3,0.921
104,def_mul_drop_nos_4,0.908
105,def_mul_drop_s_0,0.934
106,def_mul_drop_s_1,0.912
107,def_mul_drop_s_2,0.792
108,def_mul_drop_s_3,0.787
109,def_mul_drop_s_4,0.92
110,def_mul_esm_msa_0,0.947
111,def_mul_esm_msa_1,0.942
112,def_mul_esm_msa_2,0.947
113,def_mul_esm_msa_3,0.944
114,def_mul_esm_msa_4,0.944
115,def_mul_not_drop_nos_0,0.931
116,def_mul_not_drop_nos_1,0.911
117,def_mul_not_drop_nos_2,0.931
